id,user_id,deal_direction,deal_status,deal_time_mcs,symbol,price,requested_volume,profit,position_id,filled_volume,bid,ask
1527610,7,2,0,1649863397213,,0.0,0,1000000.0,0,0,0.0,0.0
1527612,7,0,0,1649863490302,EUR/USD,1.08347,100,0.0,3445665,0,1.0834,1.08346
1527614,7,0,0,1649863533763,EUR/USD,1.08321,100,0.0,3445665,0,1.08316,1.08321
1527616,7,1,1,1649863539432,EUR/USD,1.08314,100,-0.2,3445665,100,1.08315,1.0832
1527618,7,1,1,1649863544604,EUR/USD,1.08316,100,-0.18,3445665,100,1.08317,1.08321
1527620,7,1,0,1649863548586,EUR/USD,1.08315,100,0.0,3445673,0,1.08315,1.08319
1527622,7,0,1,1649863555600,EUR/USD,1.0832,100,-0.05,3445673,100,1.08315,1.0832
1527624,7,0,0,1649864000065,EUR/USD,1.08326,100,0.0,3445678,0,1.08317,1.08323
1527626,7,1,0,1649864369678,EUR/USD,1.08328,100,0.0,3445680,0,1.08328,1.08331
1527633,7,1,0,1649868684514,EUR/USD,1.08653,100,0.0,3445688,0,1.08658,1.08658
1527634,7,1,0,1649868684518,EUR/USD,1.08654,100,0.0,3445689,0,1.08658,1.08658
1527635,7,0,0,1649868684521,EUR/USD,1.08653,100,0.0,3445690,0,1.08658,1.08658
1527636,7,0,0,1649868684523,EUR/USD,1.08659,100,0.0,3445691,0,1.08658,1.08658
1527637,7,1,0,1649868684526,EUR/USD,1.06484,100,0.0,3445692,0,1.08658,1.08658
1527638,7,0,0,1649868684528,EUR/USD,1.08655,100,0.0,3445693,0,1.08658,1.08658
1527639,7,0,1,1649868777978,EUR/USD,1.08659,100,-3.31,3445680,100,1.08655,1.08659
1527641,7,0,0,1649868803037,EUR/USD,1.0867,100,0.0,3445696,0,1.08667,1.08667
1527642,7,0,1,1649868819231,EUR/USD,1.08679,100,-0.26,3445688,100,1.08679,1.08679
1527643,7,0,1,1649868829299,EUR/USD,1.08673,100,-0.19,3445689,100,1.08674,1.08674
1527644,7,1,1,1649868838065,EUR/USD,1.0868,100,0.27,3445690,100,1.0868,1.0868
1527645,7,1,1,1649868845767,EUR/USD,1.0868,100,0.25,3445693,100,1.0868,1.0868
1527646,7,1,1,1649868850166,EUR/USD,1.08682,100,0.23,3445691,100,1.08682,1.08682
1527647,7,0,1,1649868856923,EUR/USD,1.08678,100,-21.94,3445692,100,1.08678,1.08678
1527648,7,1,1,1649868863222,EUR/USD,1.0868,100,0.1,3445696,100,1.0868,1.0868
1527650,7,1,0,1649868875914,EUR/USD,1.08678,100,0.0,3445705,0,1.08681,1.08681
1527651,7,1,1,1649868890487,EUR/USD,1.08675,100,3.49,3445678,100,1.08675,1.0868
1527652,7,0,1,1649868901135,EUR/USD,1.08676,100,0.02,3445705,100,1.08676,1.08676
1527654,7,0,0,1649868930311,EUR/USD,1.08675,100,0.0,3445709,0,1.08671,1.08671
1527656,7,1,0,1649868945468,EUR/USD,1.08668,100,0.0,3445711,0,1.08671,1.08671
1527657,7,0,1,1649868963871,EUR/USD,1.08698,100,-0.3,3445711,100,1.08699,1.08699
1527658,7,1,1,1649868970269,EUR/USD,1.08701,100,0.26,3445709,100,1.08701,1.08701
1527660,7,0,0,1649869207014,EUR/USD,1.08735,100,0.0,3445715,0,1.08729,1.08729
1527662,7,0,0,1649869207574,EUR/USD,1.08736,100,0.0,3445717,0,1.08729,1.08729
1527664,7,0,0,1649869208156,EUR/USD,1.08735,100,0.0,3445719,0,1.08729,1.08729
1527666,7,0,0,1649869209262,EUR/USD,1.08736,100,0.0,3445721,0,1.08729,1.08729
1527668,7,0,0,1649869210077,EUR/USD,1.08736,100,0.0,3445723,0,1.08729,1.08729
1527670,7,0,0,1649869210749,EUR/USD,1.08736,100,0.0,3445725,0,1.08728,1.08728
1527672,7,0,0,1649869211382,EUR/USD,1.08735,100,0.0,3445727,0,1.08728,1.08728
1527674,7,1,0,1649869267189,EUR/USD,1.08766,100,0.0,3445729,0,1.08767,1.08767
1527676,7,1,0,1649869267753,EUR/USD,1.08768,100,0.0,3445731,0,1.0877,1.0877
1527678,7,1,0,1649869268391,EUR/USD,1.08774,100,0.0,3445733,0,1.08781,1.08781
1527680,7,1,0,1649869268991,EUR/USD,1.08781,100,0.0,3445735,0,1.08781,1.08781
1527682,7,1,0,1649869269512,EUR/USD,1.08778,100,0.0,3445737,0,1.08778,1.08778
1527684,7,1,0,1649869270072,EUR/USD,1.08776,100,0.0,3445739,0,1.08775,1.08775
1527686,7,1,0,1649869270616,EUR/USD,1.08769,100,0.0,3445741,0,1.08772,1.08772
1527687,7,1,1,1649869275575,EUR/USD,1.08787,100,0.52,3445715,100,1.08786,1.08786
1527688,7,1,1,1649869289084,EUR/USD,1.08771,100,0.35,3445717,100,1.08776,1.08776
1527689,7,1,1,1649869296310,EUR/USD,1.08793,100,0.57,3445721,100,1.08793,1.08793
1527690,7,1,1,1649869304811,EUR/USD,1.08783,100,0.47,3445723,100,1.08783,1.08783
1527691,7,1,1,1649869311167,EUR/USD,1.08778,100,0.43,3445719,100,1.08776,1.08776
1527692,7,1,1,1649869317419,EUR/USD,1.08763,100,0.28,3445727,100,1.08763,1.08763
1527693,7,0,1,1649869322395,EUR/USD,1.08758,100,0.16,3445733,100,1.08758,1.08758
1527694,7,1,1,1649869326350,EUR/USD,1.0875,100,0.14,3445725,100,1.0875,1.0875
1527695,7,0,1,1649869330487,EUR/USD,1.0875,100,0.18,3445731,100,1.08749,1.08749
1527696,7,0,1,1649869334870,EUR/USD,1.08743,100,0.23,3445729,100,1.08743,1.08743
1527697,7,0,1,1649869338891,EUR/USD,1.08749,100,0.29,3445737,100,1.08747,1.08747
1527698,7,0,1,1649869344516,EUR/USD,1.08749,100,0.27,3445739,100,1.08752,1.08752
1527699,7,0,1,1649869349494,EUR/USD,1.08764,100,0.17,3445735,100,1.08764,1.08764
1527700,7,0,1,1649869356415,EUR/USD,1.08764,100,0.05,3445741,100,1.08764,1.08764
1527702,7,0,0,1649870552467,EUR/USD,1.08894,100,0.0,3445757,0,1.08887,1.08887
1527704,7,1,0,1649870691725,EUR/USD,1.08863,100,0.0,3445759,0,1.08865,1.08865
1527705,7,1,1,1649871038984,EUR/USD,1.08857,100,-0.37,3445757,100,1.08857,1.08857
1527706,7,0,1,1649871046037,EUR/USD,1.08856,100,0.07,3445759,100,1.08856,1.08856
1527716,7,0,0,1649931524322,EUR/USD,1.09125,10000,0.0,3445771,0,1.09122,1.09122
1527718,7,1,0,1649931529117,EUR/USD,1.09118,10000,0.0,3445773,0,1.09122,1.09122
1527720,7,0,0,1649931530937,EUR/USD,1.09124,10000,0.0,3445775,0,1.09122,1.09122
1527722,7,1,0,1649931533862,EUR/USD,1.09118,10000,0.0,3445777,0,1.09123,1.09123
1527723,7,1,1,1649932045330,EUR/USD,1.09126,10000,1.0,3445771,10000,1.09126,1.09126
1527724,7,1,1,1649932051462,EUR/USD,1.09127,10000,3.0,3445775,10000,1.09127,1.09127
1527725,7,0,1,1649932057380,EUR/USD,1.09127,10000,-9.0,3445777,10000,1.09127,1.09127
1527726,7,0,1,1649932067876,EUR/USD,1.09128,10000,-10.0,3445773,10000,1.09128,1.09128
1527787,5,2,0,1650457391979,,0.0,0,10000000.0,0,0,0.0,0.0
1527788,5,0,0,1650457512843,EUR/USD,1.08425,10000,0.0,3445849,0,1.0842,1.08425
1527789,5,1,1,1650457535030,EUR/USD,1.08423,10000,-2.0,3445849,10000,1.08423,1.08434
1527790,5,0,0,1650457538680,EUR/USD,1.08431,10000,0.0,3445851,0,1.08421,1.08431
1527791,5,1,1,1650457543391,EUR/USD,1.08426,10000,-5.0,3445851,10000,1.08426,1.08432
1527792,5,0,0,1650457563340,EUR/USD,1.08424,10000,0.0,3445853,0,1.08417,1.08424
1527878,7,0,0,1650886748865,EUR/USD,1.07313,10000,0.0,3445947,0,1.07305,1.07305
1527880,7,1,0,1650886752528,EUR/USD,1.073,10000,0.0,3445949,0,1.07302,1.07302
1527882,7,1,0,1650886755514,EUR/USD,1.07301,10000,0.0,3445951,0,1.07301,1.07301
1527884,7,0,0,1650886756430,EUR/USD,1.07309,10000,0.0,3445953,0,1.07302,1.07302
1527885,7,0,1,1650886759644,EUR/USD,1.07306,10000,-5.0,3445951,10000,1.07306,1.07306
1527886,7,1,1,1650886766242,EUR/USD,1.07306,10000,-3.0,3445953,10000,1.07306,1.07306
1527887,7,0,1,1650886771083,EUR/USD,1.07301,10000,-1.0,3445949,10000,1.07301,1.07301
1527888,7,1,1,1650886778503,EUR/USD,1.073,10000,-13.0,3445947,10000,1.073,1.073
1527890,7,0,0,1650889652706,EUR/USD,1.07359,10000,0.0,3445959,0,1.07349,1.07353
1527892,7,0,0,1650889659331,EUR/USD,1.07359,10000,0.0,3445961,0,1.07353,1.07353
1527894,7,1,0,1650889665485,EUR/USD,1.07339,10000,0.0,3445963,0,1.07346,1.0735
1527896,7,0,0,1650889706645,EUR/USD,1.07371,10000,0.0,3445965,0,1.07364,1.07369
1548703,3,2,0,1654017758715,,0.0,0,1000000.0,0,0,0.0,0.0
1548791,3,0,0,1655909933229,EUR/USD,1.05589,10000,0.0,3466898,0,1.05586,1.05586
1548823,3,0,0,1656591183282,AUD/CHF,0.65943,10000,0.0,3466948,0,0.65925,0.65933
1548900,7,0,1,1657650013302,EUR/USD,1.00407,10000,6932.0,3445963,10000,1.00398,1.00407
1548901,7,1,1,1657650018007,EUR/USD,1.00398,10000,-6961.0,3445961,10000,1.00398,1.00407
1548902,7,1,1,1657650022286,EUR/USD,1.00398,10000,-6961.0,3445959,10000,1.00398,1.00407
1548903,7,1,1,1657650026536,EUR/USD,1.00398,10000,-6973.0,3445965,10000,1.00398,1.00407
1549576,4,2,0,1664383568215,,0.0,0,1000000.0,0,0,0.0,0.0
1549577,4,1,0,1664456285266,EUR/USD,0.97226,1000,0.0,4380129,0,0.97226,0.97235
1549578,4,0,1,1664456817009,EUR/USD,0.97174,1000,5.2,4380129,1000,0.9717,0.97174
1549579,4,1,0,1664457162410,EUR/USD,0.97095,10000,0.0,4380131,0,0.97095,0.97102
1549580,4,0,1,1664457197456,EUR/USD,0.97088,10000,7.0,4380131,10000,0.97081,0.97088
1549581,4,0,0,1664459133118,EUR/USD,0.96974,10000,0.0,4380134,0,0.96974,0.96974
1549582,4,0,0,1664459234990,EUR/USD,0.96937,10000,0.0,4380135,0,0.96932,0.96937
1549583,4,1,1,1664459259567,EUR/USD,0.96942,10000,-32.0,4380134,10000,0.96942,0.96945
1549614,4,1,1,1664520050904,EUR/USD,0.98202,10000,1265.0,4380135,10000,0.98202,0.9821
1549621,4,0,0,1664535072008,EUR/USD,0.981,10000,0.0,4380177,0,0.98098,0.981
1549622,4,1,0,1664535073461,EUR/USD,0.98098,10000,0.0,4380178,0,0.98098,0.98098
1549623,4,0,0,1664535098404,EUR/USD,0.98115,10000,0.0,4380179,0,0.98113,0.98115
1549624,4,0,0,1664535122264,GBP/USD,1.11728,10000,0.0,4380180,0,1.1172,1.11728
1549625,4,1,0,1664535128413,XAU/USD,1669.75,10000,0.0,4380181,0,1669.75,1669.86
1549626,4,0,0,1664535134380,XAG/USD,19.171,10000,0.0,4380182,0,19.134,19.141
1549627,4,0,0,1664535384043,EUR/GBP,0.87856,50000,0.0,4380188,0,0.87816,0.87826
1549628,4,0,0,1664535416869,XAU/USD,1668.03,20000,0.0,4380189,0,1667.92,1668.03
1549629,4,0,0,1664535781674,GBP/USD,1.11574,50000,0.0,4380190,0,1.11565,1.11573
1549630,4,1,0,1664535794405,XAU/USD,1668.41,100000,0.0,4380191,0,1668.41,1668.52
1549631,4,1,0,1664535807094,XAU/USD,1668.66,100000,0.0,4380192,0,1668.66,1668.76
1549632,4,0,0,1664535823432,EUR/NZD,1.71659,100000,0.0,4380193,0,1.71603,1.71629
1549633,4,1,0,1664535840054,AUD/NZD,1.13757,100000,0.0,4380194,0,1.13787,1.13795
1549634,4,0,0,1664536015526,GBP/USD,1.11561,100000,0.0,4380195,0,1.11555,1.11562
1549635,4,1,1,1664536096405,GBP/USD,1.11498,10000,-230.0,4380180,10000,1.115,1.11503
1549636,4,1,1,1664536097470,EUR/USD,0.9794,10000,-160.0,4380177,10000,0.9794,0.97941
1549637,4,0,1,1664536100188,EUR/USD,0.97938,10000,160.0,4380178,10000,0.97938,0.97938
1549638,4,1,1,1664536101390,GBP/USD,1.11523,100000,-380.0,4380195,100000,1.11525,1.11526
1549639,4,1,1,1664536101984,EUR/USD,0.97943,10000,-172.0,4380179,10000,0.97943,0.97945
1549640,4,1,1,1664536102970,GBP/USD,1.11548,50000,-130.0,4380190,50000,1.11548,1.11554
1549641,4,1,0,1664536334016,EUR/GBP,0.8775,10000,0.0,4380202,0,0.87781,0.87787
1549642,4,0,1,1664536369844,EUR/GBP,0.87862,10000,-124.89,4380202,10000,0.87829,0.87833
1549643,4,0,0,1664536381886,EUR/USD,0.97941,50000,0.0,4380204,0,0.9794,0.97941
1549644,4,1,0,1664536387174,GBP/USD,1.11544,50000,0.0,4380205,0,1.11543,1.11552
1549645,4,0,0,1664537375408,GBP/USD,1.10883,50000,0.0,4380206,0,1.10875,1.10883
1549646,4,1,1,1664537388913,GBP/USD,1.10887,50000,20.0,4380206,50000,1.10889,1.10904
1549647,4,1,0,1664537400870,EUR/CAD,1.33869,50000,0.0,4380208,0,1.33899,1.33905
1549648,4,1,0,1664537404035,EUR/CAD,1.33875,50000,0.0,4380209,0,1.33905,1.33912
1549649,4,1,0,1664537406824,EUR/CAD,1.33871,50000,0.0,4380210,0,1.33901,1.33909
1549650,4,1,0,1664537409699,EUR/CAD,1.3387,50000,0.0,4380211,0,1.339,1.33912
1549651,4,1,0,1664537412706,EUR/CAD,1.3387,50000,0.0,4380212,0,1.339,1.33907
1549652,4,1,0,1664537415585,EUR/CAD,1.33866,50000,0.0,4380213,0,1.33897,1.33904
1549653,4,1,0,1664537418275,EUR/CAD,1.33869,50000,0.0,4380214,0,1.33899,1.33908
1549654,4,0,1,1664537461590,XAU/USD,1665.39,10000,436.0,4380181,10000,1665.28,1665.39
1549655,4,1,1,1664537476127,XAG/USD,18.994,10000,-885.0,4380182,10000,19.025,19.036
1549870,4,0,1,1665397820954,GBP/USD,1.10672,50000,4360.0,4380205,50000,1.10664,1.10672
1549871,4,1,3,1665397986657,XAU/USD,1668.41,20000,76.0,4380189,20000,1679.95,1680.02
